dataset,tau,model,metric,mean,std
1027_ESL,.9,SQR,coverage,0.0945928887018725,0.04682728357912546
1027_ESL,.9,LightGBM,coverage,0.412476330738481,0.05388777624900903
1027_ESL,.9,DecisionTree,coverage,0.12333263202188097,0.024377509417749785
1027_ESL,.9,LinearQuantile,coverage,0.41228697664632874,0.016695537743297663
1027_ESL,.9,SQR,complexity,9.0,1.2649110640673518
1027_ESL,.9,DecisionTree,complexity,127.0,4.0
1027_ESL,.9,LinearQuantile,complexity,34.0,0.0
1027_ESL,.9,SQR,losses,0.030595676414895856,0.007050506876079815
1027_ESL,.9,LightGBM,losses,0.03882087576674016,0.0065451737679554645
1027_ESL,.9,DecisionTree,losses,0.02874053229539238,0.00367747656083411
1027_ESL,.9,LinearQuantile,losses,0.02870336020257227,0.004540430388437394
1028_SWD,.9,SQR,complexity,3.0,0.0
1028_SWD,.9,DecisionTree,complexity,101.4,67.18809418341914
1028_SWD,.9,LinearQuantile,complexity,31.0,0.0
1028_SWD,.9,SQR,coverage,0.19300000000000003,0.02712931993250108
1028_SWD,.9,LightGBM,coverage,0.333,0.03695943722515264
1028_SWD,.9,DecisionTree,coverage,0.12600000000000003,0.02939387691339812
1028_SWD,.9,LinearQuantile,coverage,0.38899999999999996,0.031685959035509734
1028_SWD,.9,SQR,losses,0.09743333333333334,0.009066176457336123
1028_SWD,.9,LightGBM,losses,0.07706528981955132,0.012782181251968916
1028_SWD,.9,DecisionTree,losses,0.07303333333333333,0.0072786979910176575
1028_SWD,.9,LinearQuantile,losses,0.08463824964416015,0.011896840263347221
1029_LEV,.9,SQR,coverage,0.15900000000000003,0.02200000000000002
1029_LEV,.9,LightGBM,coverage,0.36000000000000004,0.04012480529547776
1029_LEV,.9,DecisionTree,coverage,0.09900000000000005,0.03992492955535425
1029_LEV,.9,LinearQuantile,coverage,0.39300000000000007,0.040816663263917086
1029_LEV,.9,SQR,complexity,3.0,0.0
1029_LEV,.9,DecisionTree,complexity,165.8,24.579666393179547
1029_LEV,.9,LinearQuantile,complexity,20.0,0.0
1029_LEV,.9,SQR,losses,0.07577500000000001,0.005569111239686278
1029_LEV,.9,LightGBM,losses,0.06139944219452411,0.006411735811352277
1029_LEV,.9,DecisionTree,losses,0.0509625,0.008990672249615153
1029_LEV,.9,LinearQuantile,losses,0.05779347894382837,0.006651482227402661
1030_ERA,.9,SQR,losses,0.096621273147125,0.020177023381670357
1030_ERA,.9,LightGBM,losses,0.08085850014539578,0.013389479780214548
1030_ERA,.9,DecisionTree,losses,0.08231250000000001,0.01035615758860399
1030_ERA,.9,LinearQuantile,losses,0.08208980712959943,0.01783963853926493
1030_ERA,.9,SQR,complexity,3.2,0.39999999999999997
1030_ERA,.9,DecisionTree,complexity,42.2,23.06859336847394
1030_ERA,.9,LinearQuantile,complexity,4.0,0.0
1030_ERA,.9,SQR,coverage,0.438,0.05818934610390463
1030_ERA,.9,LightGBM,coverage,0.3870000000000001,0.063608175575157
1030_ERA,.9,DecisionTree,coverage,0.29300000000000004,0.05182663407939977
1030_ERA,.9,LinearQuantile,coverage,0.388,0.06177378084592201
1089_USCrime,.9,SQR,losses,0.049037837850352615,0.01582466180499747
1089_USCrime,.9,LightGBM,losses,0.1508311111111111,0.038341321880076856
1089_USCrime,.9,DecisionTree,losses,0.052945185185185185,0.015359630768310165
1089_USCrime,.9,LinearQuantile,losses,0.051355087331673134,0.023153000040507476
1089_USCrime,.9,SQR,complexity,11.6,2.4166091947189146
1089_USCrime,.9,DecisionTree,complexity,7.0,4.0
1089_USCrime,.9,LinearQuantile,complexity,14.0,0.0
1089_USCrime,.9,SQR,coverage,0.44666666666666666,0.1746106780494506
1089_USCrime,.9,LightGBM,coverage,0.3711111111111111,0.11813363431112897
1089_USCrime,.9,DecisionTree,coverage,0.4133333333333333,0.18058888581253377
1089_USCrime,.9,LinearQuantile,coverage,0.3022222222222223,0.18384104782174607
1096_FacultySalaries,.9,SQR,coverage,0.26000000000000006,0.10198039027185571
1096_FacultySalaries,.9,LightGBM,coverage,0.4,0.08944271909999157
1096_FacultySalaries,.9,DecisionTree,coverage,0.34,0.1624807680927192
1096_FacultySalaries,.9,LinearQuantile,coverage,0.38,0.07483314773547882
1096_FacultySalaries,.9,SQR,complexity,13.6,1.2
1096_FacultySalaries,.9,DecisionTree,complexity,11.4,4.454211490264017
1096_FacultySalaries,.9,LinearQuantile,complexity,5.0,0.0
1096_FacultySalaries,.9,SQR,losses,0.002993546976271836,0.003665072634780749
1096_FacultySalaries,.9,LightGBM,losses,0.09623126934128139,0.03129905713058428
1096_FacultySalaries,.9,DecisionTree,losses,0.03806539438993687,0.010607122888971015
1096_FacultySalaries,.9,LinearQuantile,losses,0.0025599205851585933,0.0037976728710144695
1199_BNG_echoMonths,.9,SQR,losses,0.07161892038078674,0.0014070670773600013
1199_BNG_echoMonths,.9,LightGBM,losses,0.062703728334339,0.0015882134413047427
1199_BNG_echoMonths,.9,DecisionTree,losses,0.0615282984782813,0.0021711894349029097
1199_BNG_echoMonths,.9,LinearQuantile,losses,0.0658349745713181,0.001625333686746817
1199_BNG_echoMonths,.9,SQR,coverage,0.5539213162944515,0.008302577860798431
1199_BNG_echoMonths,.9,LightGBM,coverage,0.36662176131956076,0.009850645522793211
1199_BNG_echoMonths,.9,DecisionTree,coverage,0.3947996897072633,0.009675437344192352
1199_BNG_echoMonths,.9,LinearQuantile,coverage,0.40028680847589104,0.010667325963409479
1199_BNG_echoMonths,.9,SQR,complexity,2.0,0.0
1199_BNG_echoMonths,.9,DecisionTree,complexity,467.8,14.510685717773644
1199_BNG_echoMonths,.9,LinearQuantile,complexity,12.0,0.0
192_vineyard,.9,SQR,losses,0.042881684668862684,0.01201337710350291
192_vineyard,.9,LightGBM,losses,0.05399999999999999,0.022246106674750462
192_vineyard,.9,DecisionTree,losses,0.04649129593810445,0.012011020458756615
192_vineyard,.9,LinearQuantile,losses,0.06951550106423657,0.036357527385078574
192_vineyard,.9,SQR,coverage,0.3654545454545455,0.09079993446679106
192_vineyard,.9,LightGBM,coverage,0.36363636363636365,0.1934463429566602
192_vineyard,.9,DecisionTree,coverage,0.3472727272727273,0.11519297499241568
192_vineyard,.9,LinearQuantile,coverage,0.4381818181818182,0.19644779341389934
192_vineyard,.9,SQR,complexity,6.4,1.0198039027185568
192_vineyard,.9,DecisionTree,complexity,7.0,4.0
192_vineyard,.9,LinearQuantile,complexity,2.0,0.0
197_cpu_act,.9,SQR,losses,0.012769787289708063,0.0005269751839865855
197_cpu_act,.9,LightGBM,losses,0.010193395218215526,0.00028210213364473124
197_cpu_act,.9,DecisionTree,losses,0.009926836659600539,0.0005368532130151114
197_cpu_act,.9,LinearQuantile,losses,0.0762586773073183,0.0009176241522262315
197_cpu_act,.9,SQR,coverage,0.38742584782853245,0.01818416265755224
197_cpu_act,.9,LightGBM,coverage,0.41098394521213316,0.014561241248900837
197_cpu_act,.9,DecisionTree,coverage,0.2945294824489456,0.01899713713543592
197_cpu_act,.9,LinearQuantile,coverage,0.46030472137854694,0.008194288667700184
197_cpu_act,.9,SQR,complexity,4.0,0.0
197_cpu_act,.9,DecisionTree,complexity,580.2,265.73550760107315
197_cpu_act,.9,LinearQuantile,complexity,21.0,0.0
201_pol,.9,SQR,complexity,9.8,2.6381811916545836
201_pol,.9,DecisionTree,complexity,1180.2,20.49780476051033
201_pol,.9,LinearQuantile,complexity,48.0,0.0
201_pol,.9,SQR,losses,0.06551525173949373,0.00943239732177735
201_pol,.9,LightGBM,losses,0.05243185672721129,0.0014416726298071508
201_pol,.9,DecisionTree,losses,0.010551,0.0012530175134007064
201_pol,.9,LinearQuantile,losses,0.1478437512127678,0.006608279175132694
201_pol,.9,SQR,coverage,0.17046666666666668,0.02285859915995633
201_pol,.9,LightGBM,coverage,0.21566666666666667,0.005565768390597829
201_pol,.9,DecisionTree,coverage,0.02699999999999998,0.00989051172701507
201_pol,.9,LinearQuantile,coverage,0.4,0.01022632767799748
210_cloud,.9,SQR,coverage,0.39783549783549776,0.09686721548184136
210_cloud,.9,LightGBM,coverage,0.30692640692640694,0.048766190533814514
210_cloud,.9,DecisionTree,coverage,0.41861471861471866,0.08838592923874909
210_cloud,.9,LinearQuantile,coverage,0.41645021645021646,0.09679560748882093
210_cloud,.9,SQR,losses,0.022648816082836094,0.006781786747543452
210_cloud,.9,LightGBM,losses,0.03778188080457716,0.012534224372333966
210_cloud,.9,DecisionTree,losses,0.03547875184716299,0.014310046671475394
210_cloud,.9,LinearQuantile,losses,0.026285040581554103,0.004993626450178799
210_cloud,.9,SQR,complexity,3.0,0.0
210_cloud,.9,DecisionTree,complexity,27.0,9.959919678390985
210_cloud,.9,LinearQuantile,complexity,9.0,0.0
215_2dplanes,.9,SQR,complexity,11.4,1.624807680927192
215_2dplanes,.9,DecisionTree,complexity,1013.8,38.876213807417
215_2dplanes,.9,LinearQuantile,complexity,29.0,0.0
215_2dplanes,.9,SQR,coverage,0.3894040427041322,0.02663279953410629
215_2dplanes,.9,LightGBM,coverage,0.3990187570730385,0.003210187184346701
215_2dplanes,.9,DecisionTree,coverage,0.3996566132610802,0.0030174908326460565
215_2dplanes,.9,LinearQuantile,coverage,0.3995340191922444,0.003376527598855042
215_2dplanes,.9,SQR,losses,0.027894426966332285,0.004576907725787332
215_2dplanes,.9,LightGBM,losses,0.018697689823365664,0.00023405337197593716
215_2dplanes,.9,DecisionTree,losses,0.016348868555485407,0.00018195500297763352
215_2dplanes,.9,LinearQuantile,losses,0.03861129680655688,0.00017698904031613979
218_house_8L,.9,SQR,coverage,0.35496839082286746,0.008041231437191494
218_house_8L,.9,LightGBM,coverage,0.3800736568098593,0.008836295971031844
218_house_8L,.9,DecisionTree,coverage,0.3755530907596548,0.008440336167451152
218_house_8L,.9,LinearQuantile,coverage,0.3796776678894957,0.014640260946148566
218_house_8L,.9,SQR,complexity,5.0,0.0
218_house_8L,.9,DecisionTree,complexity,722.2,118.29860523269072
218_house_8L,.9,LinearQuantile,complexity,8.0,0.0
218_house_8L,.9,SQR,losses,0.03177485394383289,0.000477648234049135
218_house_8L,.9,LightGBM,losses,0.023953425248096467,0.0004984884414495278
218_house_8L,.9,DecisionTree,losses,0.020237003221755923,0.00044332978998796665
218_house_8L,.9,LinearQuantile,losses,0.0305994651933733,0.001211958133523601
225_puma8NH,.9,SQR,complexity,3.0,0.0
225_puma8NH,.9,DecisionTree,complexity,252.6,27.579702681501118
225_puma8NH,.9,LinearQuantile,complexity,8.0,0.0
225_puma8NH,.9,SQR,coverage,0.5562509079287603,0.004552643915226926
225_puma8NH,.9,LightGBM,coverage,0.40170925271596414,0.008138489342326676
225_puma8NH,.9,DecisionTree,coverage,0.4008578297168901,0.016352813324103294
225_puma8NH,.9,LinearQuantile,coverage,0.5047329255382946,0.013069854971409884
225_puma8NH,.9,SQR,losses,0.0797817516062678,0.0015844941576429626
225_puma8NH,.9,LightGBM,losses,0.04954142256577053,0.0014446378278913205
225_puma8NH,.9,DecisionTree,losses,0.05033830903864376,0.001775451096565151
225_puma8NH,.9,LinearQuantile,losses,0.09480944679524383,0.0018097765062122626
227_cpu_small,.9,SQR,losses,0.012860994436964188,0.0008007180492552036
227_cpu_small,.9,LightGBM,losses,0.01081130211243995,0.0004714848331621556
227_cpu_small,.9,DecisionTree,losses,0.011149830855952475,0.0005732653365618831
227_cpu_small,.9,LinearQuantile,losses,0.07939206473755654,0.001167497315166769
227_cpu_small,.9,SQR,complexity,5.4,0.8
227_cpu_small,.9,DecisionTree,complexity,744.2,309.39579829079776
227_cpu_small,.9,LinearQuantile,complexity,12.0,0.0
227_cpu_small,.9,SQR,coverage,0.39426218822191983,0.0149933389533964
227_cpu_small,.9,LightGBM,coverage,0.42184817419716747,0.017245955963848144
227_cpu_small,.9,DecisionTree,coverage,0.3084459909963265,0.015553677776247127
227_cpu_small,.9,LinearQuantile,coverage,0.4568854709794308,0.004769107985251769
228_elusage,.9,SQR,coverage,0.390909090909091,0.1585054161287518
228_elusage,.9,LightGBM,coverage,0.3363636363636364,0.06803013430498075
228_elusage,.9,DecisionTree,coverage,0.4636363636363637,0.15640591394622957
228_elusage,.9,LinearQuantile,coverage,0.5181818181818182,0.10601730717900545
228_elusage,.9,SQR,complexity,4.2,0.39999999999999997
228_elusage,.9,DecisionTree,complexity,8.2,4.66476151587624
228_elusage,.9,LinearQuantile,complexity,2.0,0.0
228_elusage,.9,SQR,losses,0.04861838524881344,0.014456530561980097
228_elusage,.9,LightGBM,losses,0.08507560977215149,0.038202265433153325
228_elusage,.9,DecisionTree,losses,0.05301164846729345,0.02471781194351848
228_elusage,.9,LinearQuantile,losses,0.21161290636323798,0.06641771439838386
229_pwLinear,.9,SQR,complexity,10.8,2.4
229_pwLinear,.9,DecisionTree,complexity,63.4,1.9595917942265426
229_pwLinear,.9,LinearQuantile,complexity,29.0,0.0
229_pwLinear,.9,SQR,coverage,0.425,0.11401754250991379
229_pwLinear,.9,LightGBM,coverage,0.36500000000000005,0.04898979485566356
229_pwLinear,.9,DecisionTree,coverage,0.4050000000000001,0.0659545297913646
229_pwLinear,.9,LinearQuantile,coverage,0.41000000000000003,0.11247221879201992
229_pwLinear,.9,SQR,losses,0.043001010403617014,0.01149594762298787
229_pwLinear,.9,LightGBM,losses,0.04182958061305196,0.00627154907402953
229_pwLinear,.9,DecisionTree,losses,0.03961397303549642,0.005828477505061749
229_pwLinear,.9,LinearQuantile,losses,0.04368285115606175,0.007199472483727729
230_machine_cpu,.9,SQR,complexity,6.2,1.16619037896906
230_machine_cpu,.9,DecisionTree,complexity,64.6,1.4966629547095764
230_machine_cpu,.9,LinearQuantile,complexity,6.0,0.0
230_machine_cpu,.9,SQR,losses,0.015828430555213876,0.007248364875199136
230_machine_cpu,.9,LightGBM,losses,0.024450130810446998,0.015124550991471449
230_machine_cpu,.9,DecisionTree,losses,0.01843391872355287,0.008704409256739624
230_machine_cpu,.9,LinearQuantile,losses,0.017452604631941378,0.010987524875362385
230_machine_cpu,.9,SQR,coverage,0.44994192799070853,0.10283042731257311
230_machine_cpu,.9,LightGBM,coverage,0.3780487804878049,0.13426539909790863
230_machine_cpu,.9,DecisionTree,coverage,0.3831591173054588,0.09395541434086649
230_machine_cpu,.9,LinearQuantile,coverage,0.3254355400696864,0.13481244040662885
294_satellite_image,.9,SQR,complexity,9.2,3.1240998703626617
294_satellite_image,.9,DecisionTree,complexity,402.2,172.89349322632125
294_satellite_image,.9,LinearQuantile,complexity,36.0,0.0
294_satellite_image,.9,SQR,losses,0.08243651389905839,0.009398468097623926
294_satellite_image,.9,LightGBM,losses,0.06459204605649911,0.0036982281319933243
294_satellite_image,.9,DecisionTree,losses,0.03145299145299145,0.004762356654085153
294_satellite_image,.9,LinearQuantile,losses,0.1386699445412437,0.003115001444743417
294_satellite_image,.9,SQR,coverage,0.3895104895104895,0.025449592660058133
294_satellite_image,.9,LightGBM,coverage,0.44965034965034967,0.039520554094127136
294_satellite_image,.9,DecisionTree,coverage,0.020528360528360535,0.009227472275049336
294_satellite_image,.9,LinearQuantile,coverage,0.4294483294483295,0.01554467684558657
344_mv,.9,SQR,complexity,11.2,2.2271057451320084
344_mv,.9,DecisionTree,complexity,12764.2,15.829087149927503
344_mv,.9,LinearQuantile,complexity,14.0,0.0
344_mv,.9,SQR,losses,0.00048769804130619003,0.00015006673044574916
344_mv,.9,LightGBM,losses,0.009032651485111814,0.00024718793768422226
344_mv,.9,DecisionTree,losses,0.000973297283705209,1.2885918744807159e-05
344_mv,.9,LinearQuantile,losses,0.034587035002511576,0.001081778783818424
344_mv,.9,SQR,coverage,0.3357564900923986,0.05926984967060851
344_mv,.9,LightGBM,coverage,0.4561469553605061,0.0024921589753944652
344_mv,.9,DecisionTree,coverage,0.38932976724485646,0.0027523447223204867
344_mv,.9,LinearQuantile,coverage,0.39997551728755376,0.006426482131026172
4544_GeographicalOriginalofMusic,.9,SQR,coverage,0.4174416525082715,0.01563692147387385
4544_GeographicalOriginalofMusic,.9,LightGBM,coverage,0.3938120361262631,0.039075844196736806
4544_GeographicalOriginalofMusic,.9,DecisionTree,coverage,0.407985334883305,0.04114630180642096
4544_GeographicalOriginalofMusic,.9,LinearQuantile,coverage,0.41080211034606096,0.038614529082349656
4544_GeographicalOriginalofMusic,.9,SQR,complexity,4.0,0.6324555320336759
4544_GeographicalOriginalofMusic,.9,DecisionTree,complexity,43.4,16.414627622946554
4544_GeographicalOriginalofMusic,.9,LinearQuantile,complexity,117.0,0.0
4544_GeographicalOriginalofMusic,.9,SQR,losses,0.03090190882868283,0.002604544456911406
4544_GeographicalOriginalofMusic,.9,LightGBM,losses,0.03259170687479894,0.0033563904362144737
4544_GeographicalOriginalofMusic,.9,DecisionTree,losses,0.034587542696111806,0.0036063721320489096
4544_GeographicalOriginalofMusic,.9,LinearQuantile,losses,0.024909995822397727,0.001939823616867977
485_analcatdata_vehicle,.9,SQR,coverage,0.35777777777777786,0.19593397729028547
485_analcatdata_vehicle,.9,LightGBM,coverage,0.4066666666666666,0.21228911104120873
485_analcatdata_vehicle,.9,DecisionTree,coverage,0.4244444444444445,0.08703624901140505
485_analcatdata_vehicle,.9,LinearQuantile,coverage,0.3,0.11504159204928699
485_analcatdata_vehicle,.9,SQR,losses,0.04992894589383963,0.031175121249121394
485_analcatdata_vehicle,.9,LightGBM,losses,0.1462901575608758,0.06837694353683563
485_analcatdata_vehicle,.9,DecisionTree,losses,0.07355842029875179,0.046012095122775896
485_analcatdata_vehicle,.9,LinearQuantile,losses,0.07130482417767757,0.041173270567913915
485_analcatdata_vehicle,.9,SQR,complexity,15.8,2.9257477676655586
485_analcatdata_vehicle,.9,DecisionTree,complexity,11.8,2.4
485_analcatdata_vehicle,.9,LinearQuantile,complexity,12.0,0.0
503_wind,.9,SQR,coverage,0.4003033722821212,0.01591255022120596
503_wind,.9,LightGBM,coverage,0.4012149938364845,0.015366407659936023
503_wind,.9,DecisionTree,coverage,0.39467333368057367,0.01683702619328548
503_wind,.9,LinearQuantile,coverage,0.39589145267982706,0.013618518626176098
503_wind,.9,SQR,losses,0.04064790326550546,0.00119274682608972
503_wind,.9,LightGBM,losses,0.0332669976816076,0.0006459228360722083
503_wind,.9,DecisionTree,losses,0.03402679230208084,0.0011830935214663663
503_wind,.9,LinearQuantile,losses,0.03174484357367897,0.0010193835004428217
503_wind,.9,SQR,complexity,2.0,0.0
503_wind,.9,DecisionTree,complexity,241.4,28.238980151556465
503_wind,.9,LinearQuantile,complexity,14.0,0.0
505_tecator,.9,SQR,complexity,12.2,1.1661903789690602
505_tecator,.9,DecisionTree,complexity,66.6,16.84755175092215
505_tecator,.9,LinearQuantile,complexity,124.0,0.0
505_tecator,.9,SQR,coverage,0.4,0.07095577652469331
505_tecator,.9,LightGBM,coverage,0.4166666666666667,0.042491829279939865
505_tecator,.9,DecisionTree,coverage,0.35000000000000003,0.09372684899334996
505_tecator,.9,LinearQuantile,coverage,0.3916666666666667,0.08799463367476199
505_tecator,.9,SQR,losses,0.00516216910076167,0.0006685021480098539
505_tecator,.9,LightGBM,losses,0.02666030787165915,0.014691527018116445
505_tecator,.9,DecisionTree,losses,0.011511068581150474,0.002190532562523758
505_tecator,.9,LinearQuantile,losses,0.004803315623096778,0.0014220564728429739
519_vinnie,.9,SQR,coverage,0.3447368421052632,0.03849668115349418
519_vinnie,.9,LightGBM,coverage,0.3605263157894737,0.03721614637823932
519_vinnie,.9,DecisionTree,coverage,0.2947368421052632,0.06392083053416377
519_vinnie,.9,LinearQuantile,coverage,0.4,0.055200465693165876
519_vinnie,.9,SQR,complexity,2.0,0.0
519_vinnie,.9,DecisionTree,complexity,35.4,30.81298427611321
519_vinnie,.9,LinearQuantile,complexity,5.0,0.0
519_vinnie,.9,SQR,losses,0.04109271759526316,0.00317019112886565
519_vinnie,.9,LightGBM,losses,0.04521850021139591,0.003745598348483195
519_vinnie,.9,DecisionTree,losses,0.04453508771929825,0.002724189150019627
519_vinnie,.9,LinearQuantile,losses,0.043306876471079274,0.004449071366956219
522_pm10,.9,SQR,losses,0.07006307068547045,0.009428025436278789
522_pm10,.9,LightGBM,losses,0.05850566976680549,0.006233472273564467
522_pm10,.9,DecisionTree,losses,0.0628548329250177,0.008815739903701079
522_pm10,.9,LinearQuantile,losses,0.07500787518759208,0.008546899819097321
522_pm10,.9,SQR,complexity,5.4,0.7999999999999999
522_pm10,.9,DecisionTree,complexity,48.2,57.73872184245162
522_pm10,.9,LinearQuantile,complexity,7.0,0.0
522_pm10,.9,SQR,coverage,0.42000000000000004,0.04816637831516916
522_pm10,.9,LightGBM,coverage,0.40599999999999997,0.05238320341483517
522_pm10,.9,DecisionTree,coverage,0.42400000000000004,0.03773592452822643
522_pm10,.9,LinearQuantile,coverage,0.41,0.06811754546370562
523_analcatdata_neavote,.9,SQR,complexity,3.0,0.0
523_analcatdata_neavote,.9,DecisionTree,complexity,3.0,0.0
523_analcatdata_neavote,.9,LinearQuantile,complexity,6.0,0.0
523_analcatdata_neavote,.9,SQR,losses,0.02488944267777778,0.0072640991729790196
523_analcatdata_neavote,.9,LightGBM,losses,0.046256254379173425,0.013976642831496555
523_analcatdata_neavote,.9,DecisionTree,losses,0.024888888888888887,0.007263981834969406
523_analcatdata_neavote,.9,LinearQuantile,losses,0.02753335322204199,0.0069208495730920415
523_analcatdata_neavote,.9,SQR,coverage,0.3400000000000001,0.13928388277184123
523_analcatdata_neavote,.9,LightGBM,coverage,0.41,0.14966629547095767
523_analcatdata_neavote,.9,DecisionTree,coverage,0.030000000000000027,0.024494897427831803
523_analcatdata_neavote,.9,LinearQuantile,coverage,0.5900000000000001,0.19339079605813717
527_analcatdata_election2000,.9,SQR,coverage,0.09999999999999998,0.0
527_analcatdata_election2000,.9,LightGBM,coverage,0.3736263736263735,0.12835992747647332
527_analcatdata_election2000,.9,DecisionTree,coverage,0.4175824175824176,0.18104875012412286
527_analcatdata_election2000,.9,LinearQuantile,coverage,0.42000000000000004,0.3919183588453085
527_analcatdata_election2000,.9,SQR,complexity,14.8,1.1661903789690602
527_analcatdata_election2000,.9,DecisionTree,complexity,18.2,4.833218389437829
527_analcatdata_election2000,.9,LinearQuantile,complexity,14.0,0.0
527_analcatdata_election2000,.9,SQR,losses,4.055508254157549e-13,8.111016508315099e-13
527_analcatdata_election2000,.9,LightGBM,losses,0.0589134283002394,0.05061625158910354
527_analcatdata_election2000,.9,DecisionTree,losses,0.024998856314400866,0.03181803894551898
